COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_MOVED, x:44, y:194, bt:0, since:19080
MOUSE_MOVED, x:42, y:177, bt:0, since:19112
MOUSE_MOVED, x:41, y:167, bt:0, since:19146
MOUSE_MOVED, x:41, y:164, bt:0, since:19193
MOUSE_MOVED, x:41, y:161, bt:0, since:19224
MOUSE_MOVED, x:40, y:157, bt:0, since:19256
MOUSE_MOVED, x:40, y:150, bt:0, since:19283
MOUSE_MOVED, x:40, y:141, bt:0, since:19315
MOUSE_MOVED, x:40, y:129, bt:0, since:19347
MOUSE_MOVED, x:38, y:116, bt:0, since:19376
MOUSE_MOVED, x:38, y:110, bt:0, since:19403
MOUSE_MOVED, x:37, y:107, bt:0, since:19435
MOUSE_MOVED, x:39, y:96, bt:0, since:19612
MOUSE_MOVED, x:39, y:95, bt:0, since:19644
MOUSE_MOVED, x:39, y:94, bt:0, since:19645
MOUSE_MOVED, x:39, y:93, bt:0, since:19676
MOUSE_MOVED, x:39, y:92, bt:0, since:19736
MOUSE_MOVED, x:39, y:91, bt:0, since:19736
MOUSE_MOVED, x:37, y:89, bt:0, since:19795
MOUSE_MOVED, x:35, y:86, bt:0, since:19890
MOUSE_MOVED, x:32, y:80, bt:0, since:19922
MOUSE_MOVED, x:32, y:78, bt:0, since:19985
MOUSE_MOVED, x:32, y:77, bt:0, since:20017
MOUSE_MOVED, x:33, y:77, bt:0, since:20156
MOUSE_MOVED, x:34, y:76, bt:0, since:20157
MOUSE_MOVED, x:36, y:76, bt:0, since:20318
MOUSE_MOVED, x:37, y:76, bt:0, since:20434
MOUSE_PRESSED, x:37, y:76, bt:16, since:20496
MOUSE_DRAGGED, x:37, y:80, bt:0, since:20655
MOUSE_DRAGGED, x:38, y:81, bt:0, since:20687
MOUSE_DRAGGED, x:39, y:83, bt:0, since:20719
