WINDOW_OPENED, v:java.awt.Dimension[width=500,height=500], since:253
MOUSE_DRAGGED, x:635, y:426, bt:0, since:31405
MOUSE_DRAGGED, x:637, y:422, bt:0, since:31690
MOUSE_DRAGGED, x:646, y:402, bt:0, since:31765
MOUSE_DRAGGED, x:651, y:392, bt:0, since:31796
MOUSE_DRAGGED, x:656, y:384, bt:0, since:31825
MOUSE_DRAGGED, x:658, y:376, bt:0, since:31862
MOUSE_DRAGGED, x:661, y:373, bt:0, since:31898
MOUSE_DRAGGED, x:661, y:370, bt:0, since:31928
MOUSE_DRAGGED, x:663, y:368, bt:0, since:31965
MOUSE_DRAGGED, x:663, y:367, bt:0, since:31995
MOUSE_DRAGGED, x:663, y:373, bt:0, since:32331
MOUSE_DRAGGED, x:663, y:385, bt:0, since:32381
MOUSE_DRAGGED, x:663, y:392, bt:0, since:32425
MOUSE_DRAGGED, x:663, y:398, bt:0, since:32477
MOUSE_DRAGGED, x:663, y:402, bt:0, since:32515
MOUSE_DRAGGED, x:663, y:406, bt:0, since:32562
MOUSE_DRAGGED, x:663, y:411, bt:0, since:32614
MOUSE_DRAGGED, x:664, y:411, bt:0, since:32718
MOUSE_RELEASED, x:664, y:411, bt:16, since:32937
KEY_PRESS, code:38, since:33675
KEY_RELEASE, code:38, since:33861
KEY_PRESS, code:38, since:33920
KEY_RELEASE, code:38, since:34038
KEY_PRESS, code:38, since:34100
KEY_RELEASE, code:38, since:34215
KEY_PRESS, code:40, since:34449
KEY_RELEASE, code:40, since:34571
KEY_PRESS, code:40, since:34620
KEY_RELEASE, code:40, since:34704
KEY_PRESS, code:40, since:34829
KEY_RELEASE, code:40, since:34882
KEY_PRESS, code:40, since:34923
KEY_RELEASE, code:40, since:35037
MOUSE_MOVED, x:672, y:416, bt:0, since:35357
MOUSE_MOVED, x:778, y:448, bt:0, since:35390
MOUSE_MOVED, x:896, y:457, bt:0, since:35424
MOUSE_MOVED, x:996, y:449, bt:0, since:35457
MOUSE_MOVED, x:1078, y:414, bt:0, since:35494
MOUSE_MOVED, x:1181, y:296, bt:0, since:35531
MOUSE_MOVED, x:1225, y:243, bt:0, since:35566
MOUSE_MOVED, x:1251, y:216, bt:0, since:35603
MOUSE_MOVED, x:1276, y:190, bt:0, since:35634
MOUSE_MOVED, x:1299, y:164, bt:0, since:35666
MOUSE_MOVED, x:1318, y:130, bt:0, since:35704
MOUSE_MOVED, x:1337, y:92, bt:0, since:35739
MOUSE_MOVED, x:1344, y:77, bt:0, since:35775
MOUSE_MOVED, x:1346, y:72, bt:0, since:35811
MOUSE_MOVED, x:1347, y:70, bt:0, since:35843
MOUSE_MOVED, x:1346, y:70, bt:0, since:35964
MOUSE_MOVED, x:1315, y:72, bt:0, since:35998
MOUSE_MOVED, x:1251, y:80, bt:0, since:36031
MOUSE_MOVED, x:1165, y:102, bt:0, since:36063
MOUSE_MOVED, x:1115, y:125, bt:0, since:36099
MOUSE_MOVED, x:1107, y:132, bt:0, since:36130
MOUSE_MOVED, x:1106, y:135, bt:0, since:36164
MOUSE_MOVED, x:1105, y:124, bt:0, since:36471
MOUSE_MOVED, x:1105, y:112, bt:0, since:36530
MOUSE_MOVED, x:1122, y:86, bt:0, since:36589
MOUSE_MOVED, x:1188, y:31, bt:0, since:36645
MOUSE_MOVED, x:1239, y:2, bt:0, since:36711
WINDOW_CLOSING, v:java.awt.Dimension[width=1382,height=754], since:38269
